"","DOY_HEL98","HEL98","FLB_HEL98","p25","p50","p100","relpos"
"1",144.8,32.85339904,NA,31.7130306925,29.6150100175,29.43727835,0
"2",154.6,32.20700668,NA,31.7130306925,29.6150100175,29.43727835,0.0666666666666667
"3",164.4,31.25210886,NA,31.7130306925,29.6150100175,29.43727835,0.133333333333333
"4",174.2,30.53960819,NA,31.7130306925,29.6150100175,29.43727835,0.2
"5",184,28.06736726,28.06736726,27.5169893425,29.6150100175,29.43727835,0.266666666666667
"6",194.9090909,27.15339364,NA,27.5169893425,29.6150100175,29.43727835,0.333333333333333
"7",205.8181818,27.26987018,NA,27.5169893425,29.6150100175,29.43727835,0.4
"8",216.7272727,27.57732629,NA,27.5169893425,29.6150100175,29.43727835,0.466666666666667
"9",227.6363636,27.97082814,NA,28.332849835,29.2595466825,29.43727835,0.533333333333333
"10",238.5454545,28.10199542,NA,28.332849835,29.2595466825,29.43727835,0.6
"11",249.4545455,28.29822167,NA,28.332849835,29.2595466825,29.43727835,0.666666666666667
"12",260.3636364,28.96035411,NA,28.332849835,29.2595466825,29.43727835,0.733333333333333
"13",271.2727273,29.9666695,NA,30.18624353,29.2595466825,29.43727835,0.8
"14",282.1818182,29.83865023,NA,30.18624353,29.2595466825,29.43727835,0.866666666666667
"15",293.0909091,30.48294392,NA,30.18624353,29.2595466825,29.43727835,0.933333333333333
"16",304,30.45671047,NA,30.18624353,29.2595466825,29.43727835,1
